satisfaction_level,last_evaluation,number_project,time_spend_company,left,promotion_last_5years,salary,work_accident,average_monthly_hours,department
0.42,0.46,2,3,1,0,2,0,150,7
0.09,0.94,7,4,1,0,2,0,267,7
0.43,0.52,2,3,1,0,2,0,158,7
0.24,0.46,7,5,1,0,2,0,224,2
0.91,1.0,4,5,1,0,2,0,257,2
0.44,0.5,2,3,1,0,2,0,148,2
0.71,0.87,3,4,1,0,2,0,177,3
0.4,0.49,2,3,1,0,2,0,155,3
0.43,0.47,2,3,1,0,2,0,144,3
0.09,0.85,6,4,1,0,0,0,289,3
0.43,0.52,2,3,1,0,1,0,160,9
0.9,0.96,4,5,1,0,2,0,258,9
0.84,1.0,5,5,1,0,2,0,234,9
0.37,0.48,2,3,1,0,2,0,137,9
0.86,0.68,5,2,1,0,2,0,263,9
0.11,0.84,6,4,1,0,1,0,251,9
0.37,0.57,2,3,1,0,1,0,133,9
0.4,0.46,2,3,1,0,1,0,132,9
0.14,0.62,4,4,1,0,1,1,158,9
0.4,0.46,2,3,1,0,1,0,135,9
0.75,1.0,4,6,1,0,1,0,216,9
0.11,0.84,6,5,1,0,1,1,300,8
0.46,0.49,2,3,1,0,1,0,138,8
0.11,0.92,6,4,1,0,1,0,260,8
0.38,0.49,2,3,1,0,1,0,132,8
0.7,0.89,3,5,1,0,1,0,183,8
0.09,0.82,6,4,1,0,1,0,250,8
0.37,0.45,2,3,1,0,1,0,151,8
0.1,0.83,6,4,1,0,1,0,292,8
0.38,0.57,2,3,1,0,1,0,140,8
0.9,1.0,5,5,1,0,1,0,221,8
0.44,0.51,2,3,1,0,1,0,138,8
0.36,0.5,2,3,1,0,1,0,132,9
0.31,0.84,7,5,1,0,1,0,133,9
0.1,0.84,6,4,1,0,1,1,283,9
0.42,0.48,2,3,1,0,1,0,129,4
0.74,1.0,4,5,1,0,1,0,249,0
0.73,0.87,5,5,1,0,1,0,257,0
0.09,0.96,6,4,1,0,1,0,245,0
0.45,0.53,2,3,1,0,1,0,155,0
0.11,0.8,6,4,1,0,1,0,256,0
0.37,0.47,2,3,1,0,1,0,152,6
0.84,0.99,4,5,1,0,1,0,267,6
0.41,0.46,2,3,1,0,1,0,151,6
0.76,0.92,4,5,1,0,1,0,239,6
0.11,0.87,6,4,1,0,1,0,306,0
0.84,0.88,4,5,1,0,1,1,263,5
0.39,0.5,2,3,1,0,1,0,147,5
0.11,0.91,6,4,1,0,1,0,278,5
0.45,0.56,2,3,1,0,1,0,154,5
0.37,0.52,2,3,1,0,1,0,143,5
0.4,0.52,2,3,1,0,1,0,155,5
0.39,0.48,2,3,1,0,1,0,160,7
0.11,0.8,6,4,1,0,1,0,304,2
0.83,1.0,5,5,1,0,1,0,240,8
0.11,0.92,6,4,1,0,1,0,305,9
0.39,0.5,2,3,1,0,1,0,136,4
0.45,0.45,2,3,1,0,1,0,132,5
0.1,0.95,7,4,1,0,1,0,301,5
0.9,0.98,5,6,1,0,1,0,243,5
0.45,0.51,2,3,1,0,1,0,147,7
0.79,0.89,5,5,1,0,1,0,239,7
0.9,0.99,5,5,1,0,1,0,260,7
0.11,0.84,7,4,1,0,1,0,296,7
0.43,0.55,2,3,1,0,1,0,129,7
0.31,0.54,5,5,1,0,1,0,132,7
0.32,0.5,2,5,1,0,1,0,135,7
0.45,0.57,2,3,1,0,1,0,158,7
0.81,0.99,4,5,1,0,1,0,259,7
0.41,0.46,2,3,1,1,1,0,160,7
0.11,0.78,7,4,1,0,1,0,278,7
0.1,0.88,6,4,1,0,1,0,284,7
0.7,0.53,2,4,1,0,1,0,274,7
0.54,0.74,4,2,1,0,1,0,164,7
0.41,0.48,2,3,1,0,1,0,148,7
0.38,0.5,2,3,1,0,2,0,140,7
0.37,0.51,2,3,1,0,2,0,127,7
0.11,0.85,6,5,1,0,2,0,308,7
0.4,0.47,2,3,1,0,2,0,146,7
0.1,0.84,6,4,1,0,2,0,261,2
0.89,0.99,5,5,1,0,2,0,257,2
0.11,0.8,6,4,1,0,2,0,285,2
0.36,0.55,2,3,1,0,2,0,141,3
0.4,0.46,2,3,1,0,2,0,127,3
0.09,0.85,6,4,1,0,2,0,297,3
0.4,0.46,2,3,1,0,2,0,143,3
0.37,0.55,2,3,1,0,2,0,152,9
0.44,0.51,2,3,1,0,0,0,156,9
0.09,0.8,7,5,1,0,1,0,283,9
0.92,0.87,4,6,1,0,2,1,226,9
0.74,0.91,4,5,1,0,2,0,232,9
0.09,0.82,6,4,1,0,2,0,249,9
0.89,0.95,4,5,1,0,2,0,275,9
0.09,0.8,6,4,1,0,1,0,304,9
0.27,0.54,7,3,1,0,1,0,278,9
0.1,0.91,6,4,1,0,1,0,287,9
0.1,0.89,7,4,1,0,1,0,285,9
0.77,0.94,5,6,1,0,1,0,226,8
0.9,0.82,5,5,1,0,1,0,259,8
0.39,0.5,2,3,1,0,1,0,135,8
0.76,1.0,5,5,1,0,1,0,219,8
0.1,0.93,6,4,1,0,1,0,256,8
0.87,0.9,5,6,1,0,1,0,254,8
0.38,0.5,2,3,1,0,1,0,153,8
0.77,0.99,5,5,1,0,1,0,228,8
0.78,0.87,4,5,1,0,1,0,228,8
0.44,0.5,2,3,1,0,1,0,128,8
0.38,0.52,2,3,1,0,1,0,153,8
0.43,0.46,2,3,1,0,1,0,156,9
0.39,0.5,4,3,1,0,1,0,294,9
0.88,1.0,5,5,1,0,1,0,219,9
0.45,0.46,2,3,1,0,1,0,153,4
0.4,0.53,2,3,1,0,1,0,151,0
0.36,0.51,2,3,1,0,1,0,155,0
0.36,0.48,2,3,1,0,1,0,158,0
0.9,0.98,5,5,1,0,1,0,245,0
0.43,0.53,2,3,1,0,1,0,131,0
0.89,0.87,5,5,1,0,1,0,225,6
0.1,0.84,6,4,1,0,1,0,286,6
0.37,0.5,2,3,1,0,1,0,135,6
0.37,0.51,2,3,1,0,1,0,153,6
0.87,0.9,5,5,1,0,1,0,252,0
0.4,0.56,2,3,1,0,1,0,149,2
0.9,0.97,4,5,1,0,1,0,258,2
0.37,0.46,2,3,1,0,1,0,158,3
0.44,0.54,2,3,1,0,1,0,149,3
0.85,0.95,5,5,1,0,1,0,236,3
0.78,0.98,5,6,1,0,1,0,239,5
0.42,0.47,2,3,1,0,1,0,159,5
0.92,0.99,5,6,1,0,1,0,255,7
0.11,0.83,6,4,1,0,1,0,244,2
0.42,0.56,2,3,1,0,1,0,134,8
0.48,0.57,4,4,1,0,1,0,270,9
0.83,0.85,4,5,1,0,1,0,255,4
0.4,0.53,2,3,1,0,1,0,151,5
0.43,0.45,2,3,1,0,1,0,135,5
0.43,0.53,2,3,1,0,1,0,146,5
0.1,0.97,7,4,1,0,1,0,254,7
0.1,0.87,7,4,1,0,1,0,289,7
0.37,0.46,2,3,1,0,1,0,156,7
0.38,0.53,2,3,1,0,1,0,156,7
0.4,0.5,2,3,1,0,1,0,128,7
0.89,0.86,5,5,1,0,1,0,275,7
0.45,0.46,2,3,1,0,1,0,155,7
0.37,0.48,2,3,1,0,1,0,159,7
0.46,0.49,2,3,1,0,1,0,148,7
0.87,0.91,4,5,1,0,1,0,228,7
0.11,0.84,6,4,1,0,1,0,298,7
0.79,0.87,5,5,1,0,1,0,261,7
0.79,0.92,5,6,1,0,1,0,254,7
0.19,0.59,7,3,1,0,1,0,192,7
0.87,0.98,4,5,1,0,1,0,248,7
0.6,0.92,2,5,1,0,1,0,258,7
0.44,0.45,2,3,1,0,2,0,156,7
0.11,0.81,6,4,1,0,2,1,266,7
0.42,0.54,2,3,1,0,2,0,156,7
0.88,0.88,5,5,1,0,2,1,232,2
0.11,0.84,6,4,1,0,2,0,287,2
0.46,0.46,2,3,1,0,2,0,154,2
0.82,0.97,5,5,1,0,2,0,263,3
0.44,0.56,2,3,1,0,2,0,131,3
0.11,0.78,6,4,1,0,2,0,260,3
0.42,0.5,2,3,1,0,2,0,139,3
0.84,0.93,4,5,1,0,2,0,251,9
0.11,0.95,6,4,1,0,2,0,286,9
0.45,0.53,2,3,1,0,0,0,129,9
0.38,0.56,2,3,1,0,1,0,156,9
0.38,0.86,6,6,1,0,2,0,139,9
0.44,0.51,2,3,1,0,2,0,127,9
0.11,0.84,6,4,1,0,2,0,251,9
0.81,0.93,5,5,1,0,2,0,270,9
0.09,0.96,6,4,1,0,1,0,296,9
0.11,0.9,6,4,1,0,1,0,254,9
0.81,0.95,5,6,1,0,1,0,238,9
0.1,0.97,6,4,1,0,1,1,267,8
0.74,0.89,5,6,1,0,1,0,229,8
0.09,0.78,6,4,1,0,1,0,254,8
0.82,0.81,4,4,1,0,1,1,233,8
0.1,0.98,6,4,1,0,1,0,268,8
0.27,0.56,3,3,1,0,1,0,301,8
0.83,0.92,5,6,1,0,1,0,267,8
0.1,0.93,6,4,1,0,1,1,289,8
0.38,0.47,2,3,1,0,1,0,144,8
0.4,0.56,2,3,1,0,1,0,148,8
0.11,0.83,6,4,1,0,1,0,306,8
0.11,0.79,6,4,1,1,1,0,292,9
0.82,0.91,5,5,1,0,1,0,232,9
0.36,0.48,2,3,1,0,1,0,137,9
0.4,0.46,2,3,1,0,1,0,128,4
0.87,0.84,5,5,1,0,1,0,231,0
0.41,0.49,2,3,1,0,1,0,146,0
0.11,0.91,6,4,1,0,1,1,308,0
0.1,0.93,6,4,1,0,2,0,253,0
0.38,0.51,2,3,1,0,2,0,146,0
0.39,0.55,2,3,1,0,2,0,156,6
0.4,0.52,2,3,1,0,2,0,147,6
0.45,0.48,2,3,1,0,2,0,136,6
0.74,0.84,5,5,1,0,2,0,249,6
0.45,0.55,2,3,1,0,2,0,151,0
0.12,1.0,3,4,1,0,2,0,278,1
0.1,0.77,7,5,1,0,2,0,250,1
0.37,0.55,2,3,1,0,2,0,127,1
0.89,0.87,5,5,1,0,2,0,255,1
0.45,0.47,2,3,1,0,2,0,135,1
0.37,0.46,2,3,1,0,0,0,149,5
0.11,0.81,5,4,1,0,1,0,287,7
0.41,0.48,2,3,1,0,2,0,145,2
0.1,0.94,6,4,1,0,2,0,285,8
0.1,0.93,7,4,1,0,2,0,305,9
0.11,0.95,7,4,1,0,2,0,300,4
0.4,0.54,2,3,1,0,1,0,139,5
0.41,0.49,2,3,1,0,1,0,130,5
0.1,0.81,6,4,1,0,1,0,268,5
0.73,0.86,4,6,1,0,1,0,245,7
0.43,0.47,2,3,1,0,1,0,135,7
0.37,0.46,2,3,1,0,1,0,153,7
0.11,0.94,6,4,1,0,1,0,276,7
0.4,0.46,2,3,1,0,1,0,130,7
0.41,0.54,2,3,1,0,1,1,153,7
0.82,0.84,5,5,1,0,1,0,244,7
0.61,0.47,2,3,1,0,1,0,253,7
0.11,0.91,7,4,1,0,1,0,287,7
0.37,0.45,2,3,1,0,1,0,131,7
0.41,0.52,2,3,1,0,1,0,135,7
0.37,0.52,2,3,1,0,1,0,157,7
0.88,0.99,5,6,1,0,1,0,262,7
0.1,0.85,6,4,1,0,1,0,266,7
0.44,0.48,2,3,1,0,1,0,148,7
0.38,0.57,2,3,1,0,1,0,140,7
0.11,0.85,7,4,1,0,1,0,302,7
0.09,0.98,6,4,1,0,1,0,271,7
0.45,0.52,2,3,1,0,2,0,145,7
0.1,0.81,6,4,1,0,2,0,290,2
0.45,0.47,2,3,1,0,2,0,151,2
0.77,0.87,5,5,1,0,2,0,266,2
0.44,0.51,2,3,1,0,2,0,140,3
0.39,0.5,2,3,1,0,2,0,142,3
0.1,0.91,6,4,1,0,2,0,246,3
0.09,0.89,7,5,1,0,2,0,308,3
0.37,0.47,2,3,1,0,2,0,141,9
0.9,1.0,5,5,1,0,2,0,232,9
0.41,0.56,2,3,1,0,2,0,143,9
0.37,0.52,2,3,1,0,2,0,155,9
0.1,0.86,6,4,1,0,0,0,278,9
0.81,1.0,4,5,1,0,1,0,253,9
0.11,0.8,6,4,1,0,2,0,282,9
0.11,0.84,7,4,1,0,2,0,264,9
0.4,0.46,2,3,1,0,2,0,149,9
0.09,0.8,6,5,1,0,2,0,304,9
0.48,0.93,3,6,1,0,1,0,219,9
0.91,0.91,4,6,1,0,1,0,262,8
0.43,0.57,2,3,1,0,1,0,135,8
0.33,0.88,6,5,1,0,1,0,219,8
0.41,0.57,2,3,1,0,1,0,136,8
0.41,0.55,2,3,1,0,1,0,154,8
0.37,0.54,2,3,1,0,1,0,149,8
0.31,0.62,6,5,1,0,1,0,135,8
0.09,0.91,6,4,1,0,1,0,275,8
0.1,0.87,6,4,1,0,1,0,290,8
0.76,0.9,4,5,1,0,1,0,263,8
0.41,0.54,2,3,1,0,1,0,145,8
0.72,0.96,5,5,1,0,1,0,267,9
0.4,0.5,2,3,1,0,1,1,141,9
0.91,0.87,4,5,1,0,1,0,235,9
0.1,0.83,6,4,1,0,1,0,258,4
0.4,0.56,2,3,1,0,1,0,131,0
0.82,0.86,5,5,1,0,1,0,243,0
0.1,0.82,6,4,1,0,1,0,266,0
0.37,0.45,2,3,1,0,1,0,142,0
0.36,0.51,2,3,1,0,1,0,135,0
0.39,0.48,2,3,1,0,2,0,141,6
0.36,0.57,2,3,1,0,2,0,142,6
0.86,0.84,5,5,1,0,2,0,254,6
0.73,0.99,5,5,1,0,2,0,262,6
0.56,0.71,4,2,1,0,2,0,296,0
0.44,0.56,2,3,1,0,2,0,158,2
0.31,0.56,4,2,1,0,2,0,238,2
0.77,0.93,4,5,1,0,2,0,231,3
0.44,0.45,2,3,1,0,2,0,156,3
0.38,0.46,2,3,1,0,2,0,145,3
0.45,0.48,2,3,1,0,2,0,144,5
0.38,0.51,2,3,1,0,2,0,159,7
0.36,0.48,2,3,1,0,0,0,156,2
0.75,0.9,5,5,1,0,1,0,256,8
0.1,0.93,6,4,1,0,2,0,298,9
0.1,0.97,6,4,1,0,2,0,247,4
0.45,0.5,2,3,1,0,2,0,157,5
0.42,0.57,2,3,1,0,2,1,154,5
0.78,1.0,4,5,1,0,1,0,253,5
0.45,0.55,2,3,1,0,1,0,148,7
0.84,1.0,4,5,1,0,1,0,261,7
0.11,0.93,6,4,1,0,1,0,282,7
0.42,0.56,2,3,1,0,1,0,133,7
0.45,0.46,2,3,1,0,1,0,128,7
0.09,0.79,6,5,1,0,1,0,293,7
0.87,0.83,4,6,1,0,1,0,265,7
0.1,0.87,6,4,1,0,1,0,250,7
0.91,1.0,5,6,1,0,1,0,251,7
0.76,0.92,4,5,1,0,1,0,246,7
0.74,1.0,5,5,1,0,1,0,275,7
0.92,0.93,5,5,1,0,1,0,240,7
0.76,0.87,5,5,1,0,1,0,245,7
0.47,0.5,4,4,1,0,1,0,254,7
0.73,0.99,5,5,1,0,1,0,241,7
0.09,0.94,6,4,1,0,1,0,257,7
0.91,0.92,4,5,1,0,1,0,246,7
0.82,0.98,4,5,1,0,1,0,233,7
0.28,0.45,6,4,1,0,1,0,218,2
0.84,0.99,4,6,1,0,2,0,262,2
0.45,0.53,2,3,1,0,2,0,138,2
0.45,0.54,2,3,1,0,2,0,142,3
0.91,0.97,5,5,1,0,2,0,233,3
0.42,0.48,2,3,1,0,2,0,155,3
0.82,1.0,4,6,1,0,2,0,229,3
0.11,0.9,6,4,1,0,2,0,264,9
0.42,0.53,3,4,1,0,2,0,199,9
0.82,0.85,4,5,1,0,2,0,223,9
0.09,0.96,6,4,1,0,2,0,268,9
0.1,0.94,6,4,1,0,2,0,287,9
0.86,1.0,5,5,1,0,2,0,257,9
0.4,0.46,2,3,1,0,0,0,143,9
0.45,0.46,2,3,1,0,1,0,130,9
0.42,0.51,2,3,1,0,2,0,136,9
0.74,0.92,4,5,1,0,2,0,261,9
0.55,0.6,3,4,1,0,2,0,180,9
0.37,0.45,2,3,1,0,2,0,126,8
0.41,0.52,2,3,1,0,1,1,127,8
0.89,0.65,5,6,1,0,1,0,195,8
0.41,0.57,2,3,1,0,1,0,160,8
0.44,0.51,2,3,1,0,1,0,150,8
0.87,0.84,4,6,1,0,1,0,264,8
0.1,0.84,6,4,1,0,1,0,309,8
0.41,0.47,2,3,1,0,1,0,135,8
0.11,0.85,6,4,1,0,1,0,261,8
0.43,0.53,2,3,1,0,1,0,160,8
0.77,0.9,4,5,1,0,1,0,237,8
0.41,0.52,2,3,1,0,1,0,136,9
0.41,0.48,2,3,1,0,1,0,139,9
0.36,0.78,2,4,1,0,1,0,151,9
0.77,1.0,5,5,1,0,1,0,229,4
0.81,0.98,5,5,1,0,1,0,245,0
0.39,0.54,2,3,1,0,1,0,127,0
0.09,0.94,6,5,1,0,1,0,283,0
0.44,0.46,2,3,1,0,1,0,143,0
0.1,0.84,5,4,1,0,1,0,298,0
0.36,0.48,2,3,1,0,1,0,159,6
0.81,0.92,5,5,1,0,1,0,239,6
0.81,0.9,4,5,1,0,2,0,226,6
0.85,0.98,5,5,1,0,2,0,248,6
0.1,0.87,6,4,1,0,2,0,286,0
0.37,0.54,2,3,1,0,2,0,145,1
0.09,0.97,7,4,1,0,2,1,254,1
0.44,0.53,2,3,1,0,2,0,127,1
0.86,0.93,5,5,1,0,2,0,223,1
0.77,1.0,4,5,1,0,2,0,255,1
0.41,0.48,2,3,1,0,2,0,136,5
0.4,0.48,2,3,1,0,2,0,137,7
0.43,0.49,2,3,1,0,2,0,135,2
0.43,0.5,2,3,1,0,2,0,137,8
0.8,0.53,3,5,1,0,0,0,255,9
0.8,0.85,4,5,1,0,1,0,273,4
0.82,0.98,5,5,1,0,2,0,234,5
0.37,0.54,2,3,1,0,2,0,152,5
0.37,0.48,2,3,1,0,2,0,134,5
0.09,0.95,6,4,1,0,2,0,292,7
0.9,0.92,5,5,1,0,1,0,245,7
0.41,0.52,2,3,1,0,1,0,159,7
0.1,0.85,6,4,1,0,1,0,260,7
0.44,0.53,2,3,1,0,1,0,149,7
0.89,0.85,5,5,1,0,1,0,266,7
0.42,0.56,2,3,1,0,1,0,149,7
0.87,1.0,5,5,1,0,1,0,242,7
0.45,0.57,2,3,1,0,1,0,134,7
0.11,0.87,5,4,1,0,1,0,271,7
0.09,0.79,6,4,1,0,1,0,275,7
0.76,0.83,5,5,1,0,1,0,227,7
0.11,0.96,7,5,1,0,1,0,277,7
0.37,0.49,2,3,1,0,1,0,151,7
0.1,0.79,6,4,1,0,1,0,274,7
0.77,0.87,4,6,1,0,1,0,242,7
0.42,0.54,2,3,1,0,1,1,143,7
0.38,0.52,2,3,1,0,1,0,145,7
0.32,0.95,5,2,1,0,1,0,172,7
0.38,0.49,2,3,1,0,1,0,135,2
0.19,1.0,4,4,1,0,1,0,192,2
0.1,0.83,7,4,1,0,1,0,276,2
0.76,0.88,4,4,1,0,2,0,206,3
0.53,0.56,4,6,1,0,2,0,281,3
0.39,0.51,2,3,1,0,2,0,151,3
0.11,0.83,6,4,1,0,2,0,244,3
0.1,0.94,6,4,1,0,2,0,309,9
0.84,1.0,5,5,1,0,2,0,218,9
0.82,0.99,4,6,1,0,2,0,263,9
0.1,0.82,6,4,1,0,2,0,244,9
0.59,0.49,7,4,1,0,2,0,263,9
0.44,0.48,2,3,1,0,2,0,143,9
0.89,0.95,2,5,1,0,2,0,181,9
0.91,0.84,5,5,1,0,2,0,265,9
0.66,0.57,5,5,1,0,0,0,161,9
0.11,0.87,7,5,1,0,1,0,282,9
0.43,0.51,2,3,1,0,2,0,155,9
0.78,0.83,4,6,1,0,2,0,217,8
0.11,0.97,6,5,1,0,2,0,289,8
0.83,0.98,4,5,1,0,2,0,259,8
0.39,0.54,2,3,1,0,1,0,158,8
0.38,0.55,2,3,1,0,1,0,158,8
0.37,0.57,2,3,1,0,1,0,155,8
0.44,0.48,2,3,1,0,1,0,146,8
0.53,0.85,2,5,1,0,1,0,164,8
0.09,0.96,6,4,1,0,1,0,259,8
0.11,0.89,6,4,1,0,1,0,293,8
0.83,0.96,5,5,1,0,1,0,275,8
0.88,1.0,5,6,1,0,1,1,219,9
0.1,0.89,6,4,1,0,1,0,247,9
0.09,0.86,7,4,1,0,1,0,309,9
0.44,0.54,2,3,1,0,1,0,151,4
0.39,0.51,2,3,1,0,1,0,129,0
0.87,0.94,4,5,1,0,1,0,274,0
0.74,0.99,4,5,1,0,1,0,233,0
0.1,0.95,7,4,1,0,1,0,289,0
0.74,0.82,4,6,1,0,1,0,239,0
0.75,0.99,5,5,1,0,1,0,221,6
0.41,0.56,2,3,1,0,1,0,150,6
0.41,0.45,2,3,1,0,1,1,144,6
0.09,0.9,7,4,1,0,1,0,289,6
0.09,0.8,6,5,1,0,2,0,301,0
0.39,0.57,2,3,1,0,2,0,145,2
0.4,0.56,2,3,1,0,2,0,137,2
0.37,0.54,2,3,1,0,2,1,131,3
0.1,0.84,6,4,1,0,2,0,246,3
0.43,0.51,2,3,1,0,2,0,136,3
0.75,0.85,5,6,1,0,2,1,240,5
0.37,0.56,2,3,1,0,2,0,156,7
0.11,0.85,6,4,1,0,2,0,305,2
0.45,0.45,2,3,1,0,2,1,154,8
0.87,1.0,5,5,1,0,2,1,261,9
0.11,0.94,7,4,1,0,2,0,244,4
0.45,0.54,2,3,1,0,0,0,129,5
0.81,0.87,4,5,1,0,1,0,254,5
0.77,0.91,5,5,1,0,2,0,236,5
0.89,0.92,5,5,1,0,2,0,237,7
0.43,0.49,2,3,1,0,2,0,135,7
0.78,1.0,5,5,1,0,2,0,236,7
0.37,0.47,2,3,1,0,1,0,149,7
0.37,0.5,2,3,1,0,1,0,141,7
0.85,0.82,4,5,1,0,1,0,270,7
0.41,0.47,2,3,1,0,1,0,138,7
0.11,0.96,6,4,1,0,1,0,298,7
0.75,0.99,5,5,1,0,1,0,254,7
0.82,0.85,5,5,1,0,1,0,248,7
0.79,1.0,5,6,1,0,1,0,257,7
0.43,0.53,2,3,1,0,1,0,150,7
0.1,0.9,7,4,1,0,1,0,281,7
0.46,0.48,2,3,1,0,1,1,141,7
0.43,0.57,2,3,1,0,1,0,157,7
0.43,0.55,2,3,1,0,1,0,136,7
0.11,0.8,7,4,1,0,1,0,296,7
0.09,0.86,6,4,1,0,1,0,279,7
0.37,0.53,2,3,1,0,1,0,131,7
0.4,0.57,2,3,1,0,1,0,160,2
0.1,0.77,7,4,1,0,1,0,291,2
0.41,0.53,2,3,1,0,1,0,157,2
0.79,0.58,3,4,1,0,1,0,294,3
0.11,0.79,7,4,1,0,1,0,310,3
0.1,0.97,6,4,1,0,2,0,282,3
0.44,0.51,2,3,1,0,2,0,134,3
0.25,0.46,4,4,1,0,2,0,214,9
0.44,0.52,2,3,1,0,2,0,137,9
0.73,1.0,4,5,1,0,2,0,252,9
0.75,0.97,5,6,1,0,2,0,243,9
0.36,0.47,2,3,1,0,2,0,148,9
0.37,0.49,2,3,1,0,2,0,151,9
0.39,0.49,2,3,1,0,2,0,129,9
0.48,0.78,2,2,1,0,2,0,198,9
0.57,0.72,4,6,1,0,2,0,275,9
0.9,0.96,5,5,1,0,2,0,243,9
